,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
0,5.0,7.0,5.0,2.0,3.0,16.0,True
1,24.0,10.0,12.0,3.0,1.0,11.0,True
2,0.0,6.0,24.0,2.0,-2.0,8.0,True
3,4.0,13.0,2.0,-4.0,1.0,14.0,False
4,12.0,1.0,11.0,3.0,4.0,4.0,True
5,7.0,12.0,5.0,5.0,1.0,24.0,False
6,7.0,11.0,3.0,5.0,1.0,14.0,False
7,24.0,5.0,12.0,-3.0,-2.0,14.0,False
8,2.0,14.0,12.0,0.0,-5.0,22.0,True
9,2.0,16.0,19.0,1.0,-0.0,17.0,False
10,1.0,13.0,15.0,-4.0,0.0,6.0,False
11,13.0,23.0,9.0,4.0,4.0,14.0,False
12,1.0,24.0,10.0,5.0,4.0,3.0,False
13,19.0,14.0,10.0,1.0,2.0,11.0,True
14,14.0,22.0,18.0,-5.0,2.0,15.0,False
15,8.0,5.0,25.0,0.0,5.0,17.0,False
16,20.0,10.0,7.0,-3.0,-4.0,25.0,True
17,4.0,17.0,13.0,-2.0,-1.0,24.0,False
18,13.0,21.0,21.0,-0.0,4.0,22.0,True
19,18.0,15.0,15.0,-2.0,-2.0,5.0,False
20,6.0,15.0,20.0,-0.0,-2.0,15.0,True
21,20.0,19.0,17.0,3.0,-4.0,19.0,False
22,4.0,18.0,23.0,-5.0,3.0,20.0,True
23,22.0,16.0,17.0,2.0,-5.0,6.0,False
24,23.0,19.0,8.0,-4.0,-1.0,15.0,True
25,8.0,18.0,13.0,4.0,0.0,9.0,True
26,5.0,16.0,15.0,1.0,4.0,6.0,True
27,1.0,11.0,9.0,-1.0,5.0,7.0,True
28,10.0,18.0,13.0,3.0,1.0,5.0,False
29,9.0,17.0,4.0,2.0,5.0,19.0,True
30,4.0,9.0,19.0,2.0,-4.0,5.0,False
31,3.0,25.0,0.0,4.0,3.0,16.0,False
32,17.0,7.0,16.0,2.0,-1.0,22.0,True
33,8.0,6.0,1.0,4.0,-4.0,4.0,True
34,20.0,3.0,10.0,-2.0,3.0,3.0,True
35,3.0,6.0,22.0,-1.0,5.0,21.0,True
36,24.0,3.0,14.0,4.0,1.0,13.0,False
37,20.0,3.0,7.0,4.0,-2.0,25.0,True
38,0.0,16.0,13.0,-1.0,5.0,1.0,False
39,22.0,17.0,11.0,1.0,1.0,20.0,False
40,1.0,12.0,12.0,4.0,-2.0,20.0,False
41,6.0,19.0,1.0,-1.0,-3.0,23.0,False
42,19.0,6.0,21.0,-3.0,-4.0,6.0,True
43,11.0,5.0,23.0,1.0,-1.0,6.0,False
44,21.0,21.0,3.0,-2.0,-3.0,1.0,True
45,22.0,9.0,18.0,-2.0,0.0,20.0,False
46,12.0,11.0,16.0,-4.0,-3.0,8.0,False
47,7.0,11.0,16.0,4.0,2.0,12.0,True
48,24.0,9.0,5.0,1.0,2.0,10.0,False
49,14.0,14.0,14.0,-4.0,3.0,12.0,False
50,25.0,22.0,6.0,0.0,-2.0,13.0,False
51,8.0,17.0,5.0,0.0,-3.0,12.0,True
52,17.0,7.0,23.0,-3.0,-1.0,5.0,True
53,24.0,12.0,19.0,-1.0,-0.0,2.0,False
54,9.0,13.0,21.0,1.0,-4.0,9.0,False
55,16.0,24.0,24.0,3.0,-3.0,20.0,True
56,11.0,4.0,15.0,1.0,1.0,15.0,False
57,15.0,1.0,19.0,-4.0,0.0,9.0,False
58,15.0,16.0,1.0,-3.0,-5.0,10.0,True
59,15.0,23.0,5.0,1.0,3.0,13.0,False
60,21.0,10.0,4.0,4.0,-1.0,2.0,True
61,5.0,24.0,14.0,-4.0,2.0,9.0,True
62,10.0,8.0,24.0,-1.0,-0.0,3.0,False
63,15.0,6.0,3.0,1.0,4.0,19.0,False
64,23.0,8.0,7.0,-3.0,-1.0,4.0,False
65,8.0,8.0,6.0,3.0,2.0,3.0,False
66,13.0,2.0,1.0,5.0,-1.0,16.0,False
67,7.0,3.0,16.0,1.0,1.0,8.0,False
68,19.0,13.0,6.0,4.0,-1.0,11.0,True
69,17.0,14.0,7.0,-0.0,3.0,13.0,True
70,20.0,23.0,2.0,2.0,2.0,3.0,False
71,2.0,0.0,3.0,-2.0,2.0,1.0,True
72,11.0,3.0,4.0,5.0,-3.0,17.0,True
73,1.0,18.0,11.0,-4.0,1.0,19.0,False
74,16.0,10.0,13.0,3.0,0.0,0.0,True
75,14.0,10.0,16.0,2.0,3.0,21.0,False
76,13.0,11.0,25.0,2.0,-2.0,7.0,True
77,6.0,10.0,21.0,3.0,-1.0,18.0,False
78,12.0,20.0,12.0,4.0,1.0,11.0,False
79,9.0,2.0,9.0,4.0,2.0,23.0,False
80,13.0,23.0,3.0,-3.0,4.0,2.0,False
81,18.0,13.0,17.0,3.0,3.0,12.0,True
82,15.0,6.0,14.0,5.0,-3.0,24.0,False
83,3.0,21.0,19.0,-0.0,3.0,17.0,False
84,16.0,4.0,14.0,-2.0,5.0,0.0,False
85,2.0,17.0,11.0,-1.0,4.0,16.0,True
86,13.0,0.0,21.0,-1.0,3.0,21.0,True
87,6.0,2.0,18.0,-4.0,1.0,22.0,True
88,4.0,8.0,22.0,0.0,-1.0,23.0,False
89,3.0,20.0,1.0,0.0,1.0,13.0,True
90,0.0,25.0,18.0,3.0,-1.0,4.0,True
91,8.0,17.0,6.0,2.0,-2.0,6.0,False
92,6.0,13.0,2.0,5.0,0.0,21.0,True
93,11.0,22.0,24.0,3.0,3.0,2.0,True
94,9.0,1.0,2.0,3.0,0.0,15.0,False
95,18.0,1.0,17.0,-1.0,-1.0,4.0,True
96,24.0,23.0,6.0,-2.0,-5.0,18.0,False
97,14.0,20.0,0.0,-0.0,4.0,8.0,True
98,19.0,7.0,11.0,-3.0,4.0,24.0,True
99,9.0,22.0,23.0,-5.0,-3.0,15.0,False
100,11.0,16.0,4.0,3.0,-0.0,21.0,True
101,22.0,15.0,13.0,1.0,-5.0,1.0,True
102,17.0,1.0,12.0,-2.0,-4.0,7.0,True
103,10.0,22.0,17.0,-1.0,2.0,4.0,False
104,10.0,11.0,23.0,-4.0,-4.0,24.0,False
105,25.0,15.0,20.0,-1.0,-4.0,9.0,True
106,16.0,15.0,11.0,2.0,4.0,25.0,False
107,5.0,2.0,4.0,1.0,4.0,14.0,False
108,21.0,0.0,21.0,-3.0,-2.0,8.0,True
109,14.0,7.0,2.0,-5.0,-2.0,17.0,True
110,14.0,7.0,24.0,4.0,-4.0,18.0,True
111,21.0,9.0,22.0,-3.0,-2.0,11.0,True
112,16.0,20.0,7.0,0.0,-5.0,19.0,True
113,2.0,2.0,3.0,-3.0,-2.0,2.0,True
114,19.0,19.0,18.0,-5.0,5.0,14.0,False
115,16.0,20.0,20.0,-1.0,5.0,10.0,False
