,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
0,19.0,3.0,13.0,1.0,3.0,21.0,True
1,25.0,15.0,12.0,4.0,-2.0,9.0,True
2,19.0,1.0,12.0,-4.0,1.0,8.0,True
3,11.0,0.0,16.0,5.0,2.0,11.0,True
4,17.0,4.0,4.0,-2.0,-5.0,5.0,False
5,3.0,24.0,5.0,-3.0,2.0,20.0,False
6,10.0,8.0,17.0,-2.0,3.0,4.0,True
7,23.0,19.0,25.0,4.0,-3.0,18.0,True
8,0.0,13.0,18.0,1.0,0.0,24.0,False
9,8.0,5.0,24.0,3.0,-4.0,7.0,False
10,1.0,22.0,0.0,-3.0,-1.0,6.0,False
11,15.0,7.0,2.0,3.0,5.0,16.0,True
12,16.0,21.0,10.0,-1.0,5.0,5.0,False
13,4.0,15.0,19.0,2.0,2.0,2.0,False
14,22.0,4.0,14.0,3.0,-4.0,11.0,False
15,6.0,6.0,16.0,1.0,3.0,10.0,True
16,5.0,7.0,13.0,2.0,-1.0,12.0,False
17,2.0,16.0,8.0,-5.0,3.0,16.0,True
18,2.0,16.0,10.0,-2.0,-2.0,10.0,True
19,23.0,12.0,15.0,-4.0,-2.0,23.0,True
20,12.0,12.0,23.0,4.0,-4.0,4.0,True
21,10.0,14.0,11.0,-2.0,2.0,2.0,False
22,13.0,22.0,1.0,-5.0,4.0,14.0,False
23,8.0,17.0,22.0,-3.0,-4.0,3.0,False
24,14.0,13.0,11.0,0.0,4.0,0.0,True
25,20.0,24.0,21.0,1.0,2.0,6.0,True
26,16.0,2.0,9.0,-4.0,4.0,19.0,True
27,20.0,25.0,3.0,1.0,-1.0,13.0,False
28,22.0,6.0,5.0,-4.0,4.0,18.0,True
29,11.0,14.0,1.0,-0.0,-2.0,1.0,True
30,4.0,11.0,7.0,2.0,-3.0,1.0,False
31,13.0,18.0,9.0,-0.0,-3.0,12.0,False
32,1.0,9.0,18.0,3.0,4.0,7.0,False
33,5.0,11.0,17.0,4.0,1.0,24.0,False
34,18.0,2.0,21.0,-5.0,1.0,23.0,True
35,21.0,23.0,7.0,2.0,-0.0,3.0,False
36,3.0,17.0,8.0,-2.0,2.0,25.0,False
37,21.0,18.0,14.0,-3.0,0.0,19.0,False
38,9.0,5.0,4.0,-1.0,-5.0,17.0,False
39,6.0,9.0,24.0,3.0,-3.0,8.0,False
40,7.0,20.0,15.0,-3.0,-1.0,13.0,False
41,14.0,21.0,19.0,-1.0,-4.0,20.0,True
42,12.0,19.0,3.0,2.0,4.0,17.0,True
43,18.0,10.0,20.0,4.0,-0.0,22.0,True
44,24.0,1.0,23.0,3.0,-2.0,15.0,True
45,9.0,23.0,6.0,0.0,-4.0,22.0,True
46,15.0,8.0,6.0,-0.0,-1.0,14.0,False
47,17.0,10.0,22.0,-1.0,-3.0,9.0,False
48,24.0,20.0,20.0,5.0,1.0,21.0,True
49,7.0,3.0,2.0,-3.0,1.0,15.0,True
