,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
0,19.0,23.0,14.0,1.0,-5.0,23.0,True
1,15.0,2.0,22.0,4.0,2.0,19.0,False
2,7.0,21.0,6.0,0.0,-3.0,0.0,False
3,21.0,12.0,19.0,3.0,5.0,12.0,True
4,24.0,19.0,1.0,-1.0,-0.0,8.0,True
5,10.0,14.0,12.0,-3.0,1.0,7.0,False
6,9.0,8.0,8.0,-1.0,1.0,17.0,False
7,1.0,3.0,5.0,-4.0,-1.0,22.0,True
8,4.0,7.0,23.0,5.0,-3.0,14.0,False
9,14.0,16.0,15.0,-5.0,3.0,3.0,True
