,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
0,22.0,20.0,9.0,-4.0,-5.0,11.0,True
1,15.0,2.0,9.0,3.0,-2.0,4.0,True
2,21.0,18.0,24.0,1.0,1.0,20.0,True
3,8.0,1.0,15.0,3.0,-2.0,10.0,False
4,16.0,24.0,4.0,-2.0,5.0,19.0,True
5,4.0,4.0,9.0,-5.0,-4.0,11.0,False
6,17.0,18.0,20.0,3.0,-3.0,13.0,False
7,20.0,24.0,24.0,0.0,-3.0,18.0,False
8,1.0,23.0,3.0,-0.0,-3.0,17.0,False
9,24.0,16.0,16.0,3.0,2.0,11.0,False
10,11.0,12.0,6.0,-2.0,5.0,1.0,False
11,7.0,13.0,19.0,1.0,-3.0,17.0,True
12,8.0,21.0,1.0,-5.0,3.0,13.0,False
13,14.0,10.0,1.0,2.0,2.0,4.0,False
14,15.0,17.0,17.0,1.0,3.0,7.0,True
15,9.0,21.0,23.0,0.0,2.0,10.0,False
16,15.0,0.0,16.0,5.0,-3.0,2.0,False
17,5.0,3.0,4.0,2.0,-2.0,1.0,False
18,10.0,8.0,20.0,5.0,-5.0,24.0,False
19,23.0,14.0,21.0,-4.0,-2.0,5.0,False
20,14.0,3.0,9.0,3.0,-4.0,16.0,True
21,12.0,5.0,7.0,-3.0,-4.0,11.0,True
22,3.0,9.0,19.0,-4.0,3.0,14.0,False
23,1.0,15.0,8.0,-5.0,2.0,9.0,False
24,7.0,25.0,21.0,1.0,-5.0,11.0,True
25,3.0,13.0,6.0,-2.0,5.0,24.0,False
26,23.0,7.0,11.0,3.0,-2.0,15.0,True
27,19.0,1.0,21.0,4.0,-0.0,12.0,True
28,5.0,12.0,22.0,-3.0,-5.0,13.0,False
29,23.0,10.0,8.0,2.0,-4.0,9.0,True
30,24.0,18.0,18.0,-4.0,4.0,3.0,True
31,7.0,23.0,17.0,-4.0,0.0,22.0,True
32,24.0,12.0,19.0,-3.0,-2.0,0.0,False
33,2.0,10.0,18.0,1.0,-3.0,20.0,False
34,22.0,5.0,13.0,4.0,2.0,4.0,True
35,6.0,2.0,3.0,-3.0,1.0,12.0,True
36,4.0,3.0,10.0,-4.0,2.0,1.0,False
37,9.0,11.0,14.0,-1.0,-4.0,16.0,True
38,13.0,23.0,20.0,-3.0,-0.0,21.0,False
39,3.0,11.0,6.0,-2.0,3.0,17.0,True
40,5.0,4.0,23.0,1.0,5.0,21.0,False
41,21.0,2.0,10.0,-2.0,1.0,4.0,True
42,6.0,2.0,14.0,-5.0,4.0,10.0,True
43,10.0,7.0,21.0,2.0,-1.0,1.0,False
44,3.0,19.0,7.0,2.0,-2.0,21.0,True
45,7.0,24.0,5.0,-0.0,-3.0,14.0,True
46,5.0,4.0,10.0,1.0,5.0,8.0,False
47,8.0,17.0,18.0,-3.0,4.0,8.0,True
48,8.0,21.0,2.0,-5.0,-0.0,22.0,True
49,0.0,17.0,22.0,-3.0,2.0,22.0,True
50,19.0,17.0,12.0,-2.0,2.0,12.0,True
51,13.0,22.0,22.0,-2.0,-2.0,23.0,True
52,11.0,5.0,14.0,3.0,1.0,1.0,False
53,11.0,2.0,12.0,2.0,4.0,18.0,True
54,14.0,15.0,24.0,-3.0,0.0,17.0,True
55,17.0,16.0,23.0,2.0,4.0,16.0,True
56,14.0,10.0,10.0,1.0,3.0,10.0,False
57,10.0,18.0,16.0,-0.0,-3.0,2.0,True
58,21.0,8.0,15.0,3.0,4.0,19.0,False
59,18.0,23.0,18.0,-4.0,1.0,16.0,False
60,16.0,20.0,3.0,2.0,3.0,13.0,True
61,24.0,11.0,2.0,1.0,-1.0,23.0,False
62,2.0,6.0,20.0,-4.0,1.0,3.0,False
63,23.0,8.0,25.0,-1.0,2.0,8.0,False
64,12.0,23.0,3.0,-1.0,4.0,7.0,True
65,11.0,20.0,7.0,5.0,-1.0,7.0,False
66,13.0,15.0,5.0,4.0,3.0,19.0,True
67,6.0,24.0,3.0,-2.0,3.0,18.0,True
68,10.0,13.0,15.0,-0.0,-1.0,16.0,True
69,13.0,8.0,12.0,0.0,-5.0,25.0,True
70,20.0,22.0,15.0,1.0,3.0,16.0,False
71,18.0,20.0,13.0,-2.0,4.0,21.0,True
72,2.0,5.0,9.0,4.0,-1.0,2.0,True
73,13.0,22.0,4.0,4.0,-4.0,23.0,True
74,16.0,0.0,19.0,-1.0,2.0,9.0,True
75,5.0,15.0,13.0,-4.0,5.0,20.0,False
76,16.0,3.0,5.0,-4.0,-1.0,7.0,False
77,2.0,3.0,24.0,2.0,1.0,18.0,False
78,12.0,1.0,25.0,4.0,-4.0,11.0,True
79,11.0,7.0,1.0,-1.0,1.0,14.0,False
80,20.0,7.0,8.0,3.0,1.0,0.0,False
81,23.0,21.0,21.0,-2.0,-4.0,24.0,True
82,20.0,16.0,19.0,-1.0,-3.0,24.0,True
83,15.0,11.0,4.0,5.0,-1.0,14.0,False
84,20.0,4.0,9.0,4.0,-4.0,12.0,False
85,19.0,17.0,22.0,-5.0,4.0,23.0,False
86,4.0,19.0,0.0,0.0,-3.0,19.0,True
87,0.0,13.0,12.0,4.0,4.0,19.0,False
88,17.0,22.0,23.0,4.0,0.0,5.0,False
89,1.0,6.0,17.0,0.0,-5.0,22.0,True
90,18.0,6.0,11.0,0.0,0.0,10.0,True
91,19.0,25.0,23.0,3.0,-4.0,23.0,True
92,24.0,9.0,7.0,-1.0,0.0,3.0,False
93,12.0,13.0,1.0,-2.0,-1.0,2.0,True
94,12.0,15.0,8.0,2.0,-0.0,13.0,True
95,15.0,22.0,16.0,4.0,-3.0,25.0,True
96,21.0,22.0,12.0,-3.0,3.0,20.0,False
97,9.0,19.0,2.0,-1.0,-2.0,25.0,True
98,6.0,12.0,11.0,-0.0,-3.0,6.0,False
99,17.0,19.0,7.0,-2.0,3.0,19.0,False
100,9.0,6.0,23.0,-1.0,3.0,8.0,False
101,21.0,6.0,17.0,-4.0,3.0,3.0,False
102,17.0,14.0,8.0,-0.0,1.0,20.0,True
103,9.0,14.0,0.0,-3.0,-0.0,3.0,True
104,7.0,0.0,20.0,3.0,1.0,24.0,True
105,11.0,20.0,20.0,-3.0,-3.0,6.0,False
106,4.0,21.0,13.0,-3.0,3.0,17.0,True
107,16.0,17.0,0.0,5.0,-1.0,10.0,False
108,5.0,6.0,2.0,-0.0,-2.0,24.0,False
109,22.0,19.0,2.0,-0.0,-2.0,8.0,True
110,13.0,19.0,16.0,2.0,-4.0,7.0,False
111,1.0,1.0,21.0,-1.0,-5.0,22.0,True
112,18.0,4.0,6.0,5.0,-2.0,12.0,True
113,19.0,8.0,4.0,4.0,-4.0,18.0,True
114,14.0,21.0,17.0,4.0,-2.0,5.0,False
115,7.0,3.0,5.0,-4.0,-1.0,7.0,False
116,21.0,1.0,15.0,1.0,4.0,15.0,False
117,2.0,9.0,1.0,1.0,-1.0,14.0,False
118,4.0,4.0,24.0,2.0,3.0,3.0,True
119,18.0,23.0,14.0,-1.0,2.0,4.0,False
120,16.0,16.0,22.0,2.0,-1.0,5.0,False
121,9.0,8.0,17.0,-1.0,1.0,8.0,False
122,10.0,7.0,10.0,1.0,-3.0,14.0,False
123,6.0,10.0,8.0,-1.0,-4.0,21.0,False
124,20.0,18.0,16.0,4.0,2.0,12.0,False
125,23.0,2.0,11.0,3.0,2.0,18.0,False
126,22.0,11.0,3.0,3.0,-3.0,23.0,True
127,4.0,1.0,19.0,-4.0,4.0,17.0,False
128,3.0,16.0,24.0,-2.0,4.0,5.0,False
129,18.0,12.0,6.0,-1.0,-0.0,6.0,True
130,22.0,24.0,2.0,-2.0,5.0,15.0,True
131,2.0,14.0,1.0,4.0,-0.0,6.0,True
132,17.0,24.0,12.0,-1.0,2.0,20.0,False
133,6.0,9.0,14.0,0.0,-2.0,6.0,True
134,14.0,25.0,25.0,0.0,-0.0,4.0,True
135,8.0,5.0,5.0,3.0,-2.0,9.0,False
136,19.0,9.0,5.0,5.0,3.0,9.0,False
137,1.0,10.0,13.0,-5.0,0.0,13.0,True
138,15.0,9.0,7.0,-4.0,-1.0,0.0,True
139,25.0,11.0,11.0,-3.0,-3.0,1.0,True
140,10.0,13.0,13.0,-3.0,-5.0,15.0,False
141,12.0,20.0,18.0,4.0,4.0,9.0,False
142,8.0,14.0,14.0,3.0,1.0,5.0,True
143,25.0,16.0,18.0,-3.0,4.0,15.0,True
144,22.0,7.0,10.0,1.0,1.0,15.0,True
145,1.0,14.0,4.0,2.0,-1.0,21.0,False
146,3.0,18.0,22.0,3.0,-4.0,6.0,True
147,25.0,5.0,6.0,-3.0,1.0,2.0,False
148,24.0,12.0,15.0,2.0,0.0,22.0,True
149,0.0,15.0,11.0,-4.0,2.0,2.0,False
